geoName,interest,date,lat,long,city
Spokane Washington United States of America,17,2019-01-21,47.6579425,-117.4212265,Spokane 
Waco Texas United States of America,17,2019-01-21,31.549333,-97.1466695,Waco 
Washington District of Columbia United States of America,2,2019-01-21,38.8948932,-77.0365529,Washington 
West Palm Beach Florida United States of America,8,2019-01-21,26.715364,-80.0532942,West Palm Beach 
Albuquerque New Mexico United States of America,20,2019-01-28,35.0841034,-106.6509851,Albuquerque 
Atlanta Georgia United States of America,3,2019-01-28,33.7490987,-84.3901849,Atlanta 
Baltimore Maryland United States of America,11,2019-01-28,39.2908816,-76.610759,Baltimore 
Baton Rouge Louisiana United States of America,43,2019-01-28,30.4459596,-91.18738,Baton Rouge 
Boston Massachusetts United States of America,4,2019-01-28,42.3602534,-71.0582912,Boston 
Buffalo New York United States of America,21,2019-01-28,42.8867166,-78.8783922,Buffalo 
Burlington Vermont United States of America,41,2019-01-28,44.4762975,-73.2135472,Burlington 
Chicago Illinois United States of America,3,2019-01-28,41.8755616,-87.6244212,Chicago 
Cleveland Ohio United States of America,8,2019-01-28,41.5051613,-81.6934446,Cleveland 
Columbus Ohio United States of America,12,2019-01-28,39.9622601,-83.0007065,Columbus 
Denver Colorado United States of America,6,2019-01-28,39.7392364,-104.9848623,Denver 
Detroit Michigan United States of America,6,2019-01-28,42.3315509,-83.0466403,Detroit 
Duluth Minnesota United States of America,100,2019-01-28,46.7729322,-92.1251218,Duluth 
Gainesville Florida United States of America,81,2019-01-28,29.6519684,-82.3249846,Gainesville 
Greensboro North Carolina United States of America,21,2019-01-28,36.0726355,-79.7919754,Greensboro 
Honolulu Hawaii United States of America,24,2019-01-28,21.304547,-157.8556764,Honolulu 
Houston Texas United States of America,4,2019-01-28,29.7589382,-95.3676974,Houston 
Las Vegas Nevada United States of America,14,2019-01-28,36.1672559,-115.1485163,Las Vegas 
Los Angeles California United States of America,4,2019-01-28,34.0536909,-118.2427666,Los Angeles 
Madison Wisconsin United States of America,31,2019-01-28,43.074761,-89.3837613,Madison 
Nashville Tennessee United States of America,10,2019-01-28,36.1622296,-86.7743531,Nashville 
New Orleans Louisiana United States of America,19,2019-01-28,29.9499323,-90.0701156,New Orleans 
New York New York United States of America,2,2019-01-28,36.1021436,-115.17449463280128,New York 
Oklahoma City Oklahoma United States of America,19,2019-01-28,35.4729886,-97.5170536,Oklahoma City 
Philadelphia Pennsylvania United States of America,5,2019-01-28,39.9527237,-75.1635262,Philadelphia 
Pittsburgh Pennsylvania United States of America,11,2019-01-28,40.4416941,-79.9900861,Pittsburgh 
Portland Oregon United States of America,13,2019-01-28,45.5202471,-122.6741949,Portland 
Providence Rhode Island United States of America,19,2019-01-28,41.8239891,-71.4128343,Providence 
Raleigh North Carolina United States of America,8,2019-01-28,35.7803977,-78.6390989,Raleigh 
Sacramento California United States of America,8,2019-01-28,38.5815719,-121.4943996,Sacramento 
Salt Lake City Utah United States of America,10,2019-01-28,40.7596198,-111.8867975,Salt Lake City 
San Antonio Texas United States of America,12,2019-01-28,29.4246002,-98.4951405,San Antonio 
San Francisco California United States of America,5,2019-01-28,37.7790262,-122.4199061,San Francisco 
Seattle Washington United States of America,10,2019-01-28,47.6038321,-122.3300624,Seattle 
St. Louis Missouri United States of America,30,2019-01-28,38.6529545,-90.24111656024635,St. Louis 
Washington District of Columbia United States of America,3,2019-01-28,38.8948932,-77.0365529,Washington 
West Palm Beach Florida United States of America,16,2019-01-28,26.715364,-80.0532942,West Palm Beach 
Albany New York United States of America,43,2019-02-04,42.6511674,-73.754968,Albany 
Albuquerque New Mexico United States of America,39,2019-02-04,35.0841034,-106.6509851,Albuquerque 
Atlanta Georgia United States of America,8,2019-02-04,33.7490987,-84.3901849,Atlanta 
Baltimore Maryland United States of America,21,2019-02-04,39.2908816,-76.610759,Baltimore 
Baton Rouge Louisiana United States of America,84,2019-02-04,30.4459596,-91.18738,Baton Rouge 
Boston Massachusetts United States of America,8,2019-02-04,42.3602534,-71.0582912,Boston 
Buffalo New York United States of America,42,2019-02-04,42.8867166,-78.8783922,Buffalo 
Burlington Vermont United States of America,82,2019-02-04,44.4762975,-73.2135472,Burlington 
Charlotte North Carolina United States of America,18,2019-02-04,35.2270869,-80.8431268,Charlotte 
Chicago Illinois United States of America,10,2019-02-04,41.8755616,-87.6244212,Chicago 
Dallas Texas United States of America,6,2019-02-04,32.7762719,-96.7968559,Dallas 
Denver Colorado United States of America,12,2019-02-04,39.7392364,-104.9848623,Denver 
Fresno California United States of America,42,2019-02-04,36.7295295,-119.70886126075588,Fresno 
Ft. Smith Arkansas United States of America,85,2019-02-04,35.3872218,-94.4248983,Ft. Smith 
Hartford Connecticut United States of America,32,2019-02-04,41.764582,-72.6908547,Hartford 
Honolulu Hawaii United States of America,48,2019-02-04,21.304547,-157.8556764,Honolulu 
Lincoln Nebraska United States of America,100,2019-02-04,40.8088861,-96.7077751,Lincoln 
Los Angeles California United States of America,6,2019-02-04,34.0536909,-118.2427666,Los Angeles 
Madison Wisconsin United States of America,61,2019-02-04,43.074761,-89.3837613,Madison 
Miami Florida United States of America,17,2019-02-04,25.7742658,-80.1936589,Miami 
Minneapolis Minnesota United States of America,12,2019-02-04,44.9772995,-93.2654692,Minneapolis 
New York New York United States of America,8,2019-02-04,36.1021436,-115.17449463280128,New York 
Norfolk Virginia United States of America,31,2019-02-04,36.8462923,-76.2929252,Norfolk 
Philadelphia Pennsylvania United States of America,7,2019-02-04,39.9527237,-75.1635262,Philadelphia 
Phoenix Arizona United States of America,11,2019-02-04,33.4484367,-112.0741417,Phoenix 
Pittsburgh Pennsylvania United States of America,23,2019-02-04,40.4416941,-79.9900861,Pittsburgh 
Portland Oregon United States of America,33,2019-02-04,45.5202471,-122.6741949,Portland 
Portland Maine United States of America,67,2019-02-04,43.6610277,-70.2548596,Portland 
Providence Rhode Island United States of America,40,2019-02-04,41.8239891,-71.4128343,Providence 
Raleigh North Carolina United States of America,14,2019-02-04,35.7803977,-78.6390989,Raleigh 
Rochester New York United States of America,62,2019-02-04,43.157285,-77.615214,Rochester 
Sacramento California United States of America,15,2019-02-04,38.5815719,-121.4943996,Sacramento 
Salt Lake City Utah United States of America,19,2019-02-04,40.7596198,-111.8867975,Salt Lake City 
San Francisco California United States of America,8,2019-02-04,37.7790262,-122.4199061,San Francisco 
Spokane Washington United States of America,64,2019-02-04,47.6579425,-117.4212265,Spokane 
Springfield Massachusetts United States of America,91,2019-02-04,42.1014831,-72.589811,Springfield 
St. Louis Missouri United States of America,19,2019-02-04,38.6529545,-90.24111656024635,St. Louis 
Tulsa Oklahoma United States of America,55,2019-02-04,36.1556805,-95.9929113,Tulsa 
Washington District of Columbia United States of America,10,2019-02-04,38.8948932,-77.0365529,Washington 
West Palm Beach Florida United States of America,32,2019-02-04,26.715364,-80.0532942,West Palm Beach 
Amarillo Texas United States of America,86,2019-02-11,35.2072185,-101.8338246,Amarillo 
Atlanta Georgia United States of America,4,2019-02-11,33.7490987,-84.3901849,Atlanta 
Baltimore Maryland United States of America,11,2019-02-11,39.2908816,-76.610759,Baltimore 
Boston Massachusetts United States of America,8,2019-02-11,42.3602534,-71.0582912,Boston 
Burlington Vermont United States of America,40,2019-02-11,44.4762975,-73.2135472,Burlington 
Chicago Illinois United States of America,3,2019-02-11,41.8755616,-87.6244212,Chicago 
Cleveland Ohio United States of America,8,2019-02-11,41.5051613,-81.6934446,Cleveland 
Colorado Springs Colorado United States of America,34,2019-02-11,38.8339578,-104.8253485,Colorado Springs 
Davenport Iowa United States of America,53,2019-02-11,41.5236436,-90.5776368,Davenport 
Denver Colorado United States of America,9,2019-02-11,39.7392364,-104.9848623,Denver 
Erie Pennsylvania United States of America,100,2019-02-11,42.1294712,-80.0852695,Erie 
Gainesville Florida United States of America,80,2019-02-11,29.6519684,-82.3249846,Gainesville 
Greenville South Carolina United States of America,16,2019-02-11,34.851354,-82.3984882,Greenville 
Hartford Connecticut United States of America,11,2019-02-11,41.764582,-72.6908547,Hartford 
Jacksonville Florida United States of America,18,2019-02-11,30.3321838,-81.655651,Jacksonville 
La Crosse Wisconsin United States of America,70,2019-02-11,43.8014053,-91.2395429,La Crosse 
Lexington Kentucky United States of America,30,2019-02-11,38.0464066,-84.4970393,Lexington 
Los Angeles California United States of America,6,2019-02-11,34.0536909,-118.2427666,Los Angeles 
Miami Florida United States of America,6,2019-02-11,25.7742658,-80.1936589,Miami 
Minneapolis Minnesota United States of America,6,2019-02-11,44.9772995,-93.2654692,Minneapolis 
New York New York United States of America,2,2019-02-11,36.1021436,-115.17449463280128,New York 
Omaha Nebraska United States of America,23,2019-02-11,41.2587459,-95.9383758,Omaha 
