topic,Week,interest
College Football Playoff,2019-08-18,1
College Football Playoff,2019-08-25,2
College Football Playoff,2019-09-01,2
College Football Playoff,2019-09-08,2
College Football Playoff,2019-09-15,2
College Football Playoff,2019-09-22,3
College Football Playoff,2019-09-29,3
College Football Playoff,2019-10-06,3
College Football Playoff,2019-10-13,6
College Football Playoff,2019-10-20,6
College Football Playoff,2019-10-27,8
College Football Playoff,2019-11-03,43
College Football Playoff,2019-11-10,56
College Football Playoff,2019-11-17,28
College Football Playoff,2019-11-24,34
College Football Playoff,2019-12-01,65
College Football Playoff,2019-12-08,100
College Football Playoff,2019-12-15,20
College Football Playoff,2019-12-22,61
College Football Playoff,2019-12-29,53
Dayton shooting,2019-01-06,<1
Dayton shooting,2019-01-13,<1
Dayton shooting,2019-01-20,<1
Dayton shooting,2019-01-27,<1
Dayton shooting,2019-02-03,<1
Dayton shooting,2019-02-10,<1
Dayton shooting,2019-02-17,<1
Dayton shooting,2019-02-24,<1
Dayton shooting,2019-03-03,<1
Dayton shooting,2019-03-10,<1
Dayton shooting,2019-03-17,<1
Dayton shooting,2019-03-24,<1
Dayton shooting,2019-03-31,<1
Dayton shooting,2019-04-07,<1
Dayton shooting,2019-04-14,<1
Dayton shooting,2019-04-21,<1
Dayton shooting,2019-04-28,<1
Dayton shooting,2019-05-05,<1
Dayton shooting,2019-05-12,<1
Dayton shooting,2019-05-19,<1
Dayton shooting,2019-05-26,<1
Dayton shooting,2019-06-02,<1
Dayton shooting,2019-06-09,<1
Dayton shooting,2019-06-16,<1
Dayton shooting,2019-06-23,<1
Dayton shooting,2019-06-30,<1
Dayton shooting,2019-07-07,<1
Dayton shooting,2019-07-14,<1
Dayton shooting,2019-07-21,<1
Dayton shooting,2019-07-28,<1
Dayton shooting,2019-08-04,100
Dayton shooting,2019-08-11,4
Dayton shooting,2019-08-18,1
Dayton shooting,2019-08-25,1
Dayton shooting,2019-09-01,1
Dayton shooting,2019-09-08,<1
Dayton shooting,2019-09-15,<1
Dayton shooting,2019-09-22,<1
Dayton shooting,2019-09-29,<1
Dayton shooting,2019-10-06,<1
Dayton shooting,2019-10-13,<1
Dayton shooting,2019-10-20,<1
Dayton shooting,2019-10-27,<1
Dayton shooting,2019-11-03,1
Dayton shooting,2019-11-10,<1
Dayton shooting,2019-11-17,<1
Dayton shooting,2019-11-24,<1
Dayton shooting,2019-12-01,<1
Dayton shooting,2019-12-08,<1
Dayton shooting,2019-12-15,<1
Dayton shooting,2019-12-22,<1
Dayton shooting,2019-12-29,<1
El Paso shooting,2019-01-06,<1
El Paso shooting,2019-01-13,<1
El Paso shooting,2019-01-20,<1
El Paso shooting,2019-01-27,<1
El Paso shooting,2019-02-03,<1
El Paso shooting,2019-02-10,<1
El Paso shooting,2019-02-17,<1
El Paso shooting,2019-02-24,<1
El Paso shooting,2019-03-03,<1
El Paso shooting,2019-03-10,<1
El Paso shooting,2019-03-17,<1
El Paso shooting,2019-03-24,<1
El Paso shooting,2019-03-31,<1
El Paso shooting,2019-04-07,<1
El Paso shooting,2019-04-14,<1
El Paso shooting,2019-04-21,<1
El Paso shooting,2019-04-28,<1
El Paso shooting,2019-05-05,<1
El Paso shooting,2019-05-12,<1
El Paso shooting,2019-05-19,<1
El Paso shooting,2019-05-26,<1
El Paso shooting,2019-06-02,<1
El Paso shooting,2019-06-09,<1
El Paso shooting,2019-06-16,<1
El Paso shooting,2019-06-23,<1
El Paso shooting,2019-06-30,<1
El Paso shooting,2019-07-07,<1
El Paso shooting,2019-07-14,<1
El Paso shooting,2019-07-21,<1
El Paso shooting,2019-07-28,32
El Paso shooting,2019-08-04,100
El Paso shooting,2019-08-11,3
El Paso shooting,2019-08-18,1
El Paso shooting,2019-08-25,1
El Paso shooting,2019-09-01,1
El Paso shooting,2019-09-08,1
El Paso shooting,2019-09-15,<1
El Paso shooting,2019-09-22,<1
El Paso shooting,2019-09-29,<1
El Paso shooting,2019-10-06,<1
El Paso shooting,2019-10-13,<1
El Paso shooting,2019-10-20,<1
El Paso shooting,2019-10-27,<1
El Paso shooting,2019-11-03,<1
El Paso shooting,2019-11-10,<1
El Paso shooting,2019-11-17,<1
El Paso shooting,2019-11-24,<1
El Paso shooting,2019-12-01,<1
El Paso shooting,2019-12-08,<1
El Paso shooting,2019-12-15,<1
El Paso shooting,2019-12-22,<1
El Paso shooting,2019-12-29,<1
Equifax data breach,2019-01-06,<1
Equifax data breach,2019-01-13,<1
Equifax data breach,2019-01-20,<1
Equifax data breach,2019-01-27,<1
Equifax data breach,2019-02-03,<1
Equifax data breach,2019-02-10,<1
Equifax data breach,2019-02-17,<1
Equifax data breach,2019-02-24,<1
Equifax data breach,2019-03-03,<1
Equifax data breach,2019-03-10,<1
Equifax data breach,2019-03-17,<1
Equifax data breach,2019-03-24,<1
Equifax data breach,2019-03-31,<1
Equifax data breach,2019-04-07,<1
Equifax data breach,2019-04-14,<1
Equifax data breach,2019-04-21,<1
Equifax data breach,2019-04-28,<1
Equifax data breach,2019-05-05,<1
Equifax data breach,2019-05-12,<1
Equifax data breach,2019-05-19,<1
Equifax data breach,2019-05-26,<1
Equifax data breach,2019-06-02,<1
Equifax data breach,2019-06-09,<1
Equifax data breach,2019-06-16,<1
Equifax data breach,2019-06-23,<1
Equifax data breach,2019-06-30,<1
Equifax data breach,2019-07-07,<1
Equifax data breach,2019-07-14,<1
Equifax data breach,2019-07-21,100
Equifax data breach,2019-07-28,75
Equifax data breach,2019-08-04,4
Equifax data breach,2019-08-11,1
Equifax data breach,2019-08-18,1
Equifax data breach,2019-08-25,1
Equifax data breach,2019-09-01,1
Equifax data breach,2019-09-08,2
Equifax data breach,2019-09-15,1
Equifax data breach,2019-09-22,1
Equifax data breach,2019-09-29,1
Equifax data breach,2019-10-06,1
Equifax data breach,2019-10-13,1
Equifax data breach,2019-10-20,<1
Equifax data breach,2019-10-27,<1
Equifax data breach,2019-11-03,<1
Equifax data breach,2019-11-10,<1
Equifax data breach,2019-11-17,<1
Equifax data breach,2019-11-24,<1
Equifax data breach,2019-12-01,<1
Equifax data breach,2019-12-08,<1
Equifax data breach,2019-12-15,<1
Equifax data breach,2019-12-22,<1
Equifax data breach,2019-12-29,1
FIFA Women's World Cup,2019-01-06,<1
FIFA Women's World Cup,2019-01-13,<1
FIFA Women's World Cup,2019-01-20,<1
FIFA Women's World Cup,2019-01-27,<1
FIFA Women's World Cup,2019-02-03,<1
FIFA Women's World Cup,2019-02-10,<1
FIFA Women's World Cup,2019-02-17,<1
FIFA Women's World Cup,2019-02-24,<1
FIFA Women's World Cup,2019-03-03,<1
FIFA Women's World Cup,2019-03-10,<1
FIFA Women's World Cup,2019-03-17,<1
FIFA Women's World Cup,2019-03-24,<1
FIFA Women's World Cup,2019-03-31,<1
FIFA Women's World Cup,2019-04-07,1
FIFA Women's World Cup,2019-04-14,<1
FIFA Women's World Cup,2019-04-21,<1
FIFA Women's World Cup,2019-04-28,1
FIFA Women's World Cup,2019-05-05,1
FIFA Women's World Cup,2019-05-12,1
FIFA Women's World Cup,2019-05-19,1
FIFA Women's World Cup,2019-05-26,3
FIFA Women's World Cup,2019-06-02,20
FIFA Women's World Cup,2019-06-09,60
FIFA Women's World Cup,2019-06-16,64
FIFA Women's World Cup,2019-06-23,100
FIFA Women's World Cup,2019-06-30,84
FIFA Women's World Cup,2019-07-07,51
FIFA Women's World Cup,2019-07-14,2
FIFA Women's World Cup,2019-07-21,1
FIFA Women's World Cup,2019-07-28,1
FIFA Women's World Cup,2019-08-04,1
FIFA Women's World Cup,2019-08-11,<1
FIFA Women's World Cup,2019-08-18,<1
FIFA Women's World Cup,2019-08-25,<1
FIFA Women's World Cup,2019-09-01,<1
FIFA Women's World Cup,2019-09-08,<1
FIFA Women's World Cup,2019-09-15,<1
FIFA Women's World Cup,2019-09-22,<1
FIFA Women's World Cup,2019-09-29,<1
FIFA Women's World Cup,2019-10-06,<1
FIFA Women's World Cup,2019-10-13,<1
FIFA Women's World Cup,2019-10-20,<1
