geoName,interest,date
geoName,interest,date
Greensboro-High Point-Winston Salem NC,9,2019-02-25
Greenville-New Bern-Washington NC,20,2019-02-25
Greenville-Spartanburg SC-Asheville NC-Anderson SC,7,2019-02-25
Harrisburg-Lancaster-Lebanon-York PA,12,2019-02-25
Honolulu HI,16,2019-02-25
Houston TX,3,2019-02-25
Huntsville-Decatur (Florence) AL,17,2019-02-25
Indianapolis IN,9,2019-02-25
Jacksonville FL,8,2019-02-25
Johnstown-Altoona PA,21,2019-02-25
Kansas City MO,8,2019-02-25
Las Vegas NV,6,2019-02-25
Lexington KY,14,2019-02-25
Little Rock-Pine Bluff AR,12,2019-02-25
Los Angeles CA,7,2019-02-25
Madison WI,14,2019-02-25
Miami-Ft. Lauderdale FL,3,2019-02-25
Milwaukee WI,16,2019-02-25
Minneapolis-St. Paul MN,13,2019-02-25
Monterey-Salinas CA,21,2019-02-25
Montgomery (Selma) AL,32,2019-02-25
Nashville TN,4,2019-02-25
New York NY,6,2019-02-25
Norfolk-Portsmouth-Newport News VA,10,2019-02-25
Oklahoma City OK,25,2019-02-25
Orlando-Daytona Beach-Melbourne FL,9,2019-02-25
Philadelphia PA,5,2019-02-25
Phoenix AZ,5,2019-02-25
Pittsburgh PA,20,2019-02-25
Portland OR,8,2019-02-25
Providence RI-New Bedford MA,17,2019-02-25
Raleigh-Durham (Fayetteville) NC,7,2019-02-25
Richmond-Petersburg VA,18,2019-02-25
Roanoke-Lynchburg VA,13,2019-02-25
Rochester MN-Mason City IA-Austin MN,43,2019-02-25
Sacramento-Stockton-Modesto CA,7,2019-02-25
Salt Lake City UT,6,2019-02-25
San Angelo TX,100,2019-02-25
San Antonio TX,8,2019-02-25
San Diego CA,7,2019-02-25
San Francisco-Oakland-San Jose CA,5,2019-02-25
Santa Barbara-Santa Maria-San Luis Obispo CA,19,2019-02-25
Seattle-Tacoma WA,8,2019-02-25
Sioux City IA,49,2019-02-25
Sioux Falls(Mitchell) SD,52,2019-02-25
Spokane WA,14,2019-02-25
Springfield-Holyoke MA,19,2019-02-25
St. Louis MO,4,2019-02-25
Syracuse NY,15,2019-02-25
Tallahassee FL-Thomasville GA,22,2019-02-25
Tampa-St. Petersburg (Sarasota) FL,5,2019-02-25
Toledo OH,31,2019-02-25
Traverse City-Cadillac MI,34,2019-02-25
Tucson (Sierra Vista) AZ,14,2019-02-25
Tulsa OK,24,2019-02-25
Washington DC (Hagerstown MD),4,2019-02-25
West Palm Beach-Ft. Pierce FL,7,2019-02-25
Wichita-Hutchinson KS,14,2019-02-25
Yakima-Pasco-Richland-Kennewick WA,25,2019-02-25
Abilene-Sweetwater TX,24,2019-03-04
Albany GA,20,2019-03-04
Albany-Schenectady-Troy NY,3,2019-03-04
